Line No.,Newark Part No.,RoHS Compliant?,Notes,Qty,Manufacturer Part Number,Manufacturer / Description,Availability,Unit Price,Line Price,Discount Price
1,23T7076,YES,,200.0,"MCMT15N101F100CT","MULTICOMP CAP, MLCC, C0G/NP0, 100PF, 10V, 0402 MULTICOMP-MCMT15N101F100CT-CAP, MLCC, C0G/NP0, 100PF, 10V, 0402",11050,0.01,2.20,,
2,04X3289,YES,,5.0,"C2012X7R1H105K125AB","TDK CERAMIC CAPACITOR, 1UF, 50V, X7R, 0805 TDK-C2012X7R1H105K125AB-CERAMIC CAPACITOR, 1UF, 50V, X7R, 0805",3189,0.35,1.75,,
3,04X3273,YES,,10.0,"C2012X5R1C106K085AC","TDK CERAMIC CAPACITOR, 10UF, 16V, X5R, 0805 TDK-C2012X5R1C106K085AC-CERAMIC CAPACITOR, 10UF, 16V, X5R, 0805",646,0.12,1.21,,
4,88H4553,YES,,120.0,"BAT54LT1G","ON SEMICONDUCTOR SCHOTTKY RECTIFIER, 200mA, 30V, SOT-23 ON SEMICONDUCTOR-BAT54LT1G-SCHOTTKY RECTIFIER, 200mA, 30V, SOT-23",15174,0.06,7.56,,
5,26M0361,YES,,5.0,"LM2936DT-3.3.","TEXAS INSTRUMENTS V REG LDO LOWIQ 3.3V, SMD, TO2523 TEXAS INSTRUMENTS-LM2936DT-3.3.-V REG LDO LOWIQ 3.3V, SMD, TO2523",963,2.10,10.50,,
6,03P5011,YES,,5.0,"TLC5947DAP","TEXAS INSTRUMENTS 12 BIT, LED DRIVER, TSSOP-32 TEXAS INSTRUMENTS-TLC5947DAP-12 BIT, LED DRIVER, TSSOP-32",16 (Available until stock is exhausted),5.58,27.90,,
7,53W4177,YES,,120.0,"ERJ-2GEJ683X","PANASONIC ELECTRONIC COMPONENTS THICK FILM RESISTOR, 0402, 68KOHM, 5%, 100mW PANASONIC ELECTRONIC COMPONENTS-ERJ-2GEJ683X-THICK FILM RESISTOR, 0402, 68KOHM, 5%, 100mW",97053,0.00,0.24,,
8,01N7182,Y-EX,,120.0,"MCHP06W2F4700T5E","MULTICOMP RESISTOR, HIGH POWER, 470 OHM, 500mW, 1% MULTICOMP-MCHP06W2F4700T5E-RESISTOR, HIGH POWER, 470 OHM, 500mW, 1%",2156,0.05,5.52,,
9,11R2753,YES,,5.0,"TNPW040210K0BEED","VISHAY DALE THIN FILM RESISTOR, 10 KOHM, 63 MW, 0.1%, 0402 VISHAY DALE-TNPW040210K0BEED-THIN FILM RESISTOR, 10 KOHM, 63 MW, 0.1%, 0402",9240,0.33,1.65,,
10,51W3294,YES,,5.0,"ERJ-U02F4700X","PANASONIC ELECTRONIC COMPONENTS THICK FILM RESISTOR, 470 OHM, 1%, 0402 PANASONIC ELECTRONIC COMPONENTS-ERJ-U02F4700X-THICK FILM RESISTOR, 470 OHM, 1%, 0402",19941,0.01,0.07,,

,,,,,,,Sub Total,58.59
,,,,,,,Merchandise Total,58.59
,,,,,,,Basic Shipping,0.00
,,,,,,,Tax,0.00
,,,,,,,Total,58.59
